218-02,90:b1:1c:80:af:84
218-03,90:b1:1c:80:91:8d
218-04,90:b1:1c:80:ae:1e
218-05,90:b1:1c:80:9d:6e
218-06,90:b1:1c:80:ab:60
218-07,90:b1:1c:80:aa:ca
218-08,90:b1:1c:80:a6:cd
218-09,90:b1:1c:80:a7:14
218-10,90:b1:1c:80:91:ee
218-11,90:b1:1c:80:91:b6
218-12,90:b1:1c:63:94:f6
218-13,90:b1:1c:80:ad:9c
218-14,90:b1:1c:80:aa:11
218-15,90:b1:1c:80:a8:91
218-16,90:b1:1c:80:ae:dd
218-17,90:b1:1c:80:b0:5e
218-18,90:b1:1c:80:ae:3a
219-01,90:b1:1c:80:96:97
219-02,90:b1:1c:80:bc:44
219-03,90:b1:1c:80:94:8f
219-04,90:b1:1c:80:96:5e
219-05,90:b1:1c:80:c4:0d
219-06,90:b1:1c:80:f9:7e
219-07,90:b1:1c:80:f9:2f
219-08,90:b1:1c:80:94:43
219-09,90:b1:1c:80:f9:86
219-10,90:b1:1c:80:93:84
219-11,90:b1:1c:80:96:62
219-12,90:b1:1c:80:ee:da
219-13,90:b1:1c:80:fb:77
219-14,90:b1:1c:80:98:d4
219-15,90:b1:1c:80:ec:d1
219-16,90:b1:1c:80:f5:45
219-17,90:b1:1c:80:94:66
219-18,90:b1:1c:80:98:0b
221-01,90:b1:1c:80:93:e9
221-02,90:b1:1c:80:94:d0
221-03,90:b1:1c:80:96:16
221-04,90:b1:1c:80:f6:74
221-05,90:b1:1c:80:f6:8e
221-06,90:b1:1c:80:da:d1
221-07,90:b1:1c:80:f6:25
221-08,90:b1:1c:80:f0:a0
221-09,90:b1:1c:80:94:00
221-10,90:b1:1c:80:f9:26
221-11,90:b1:1c:80:c1:07
221-12,90:b1:1c:80:f9:62
221-13,90:b1:1c:80:ee:d3
221-14,90:b1:1c:80:f5:c3
221-15,90:b1:1c:80:ec:5b
221-16,90:b1:1c:80:f9:bd
221-18,90:b1:1c:80:fa:7d
232-01,f8:b1:56:bc:8c:10
232-02,f8:b1:56:bd:df:72
232-03,f8:b1:56:bc:99:fc
232-04,f8:b1:56:bc:8b:11
232-05,f8:b1:56:bc:88:df
232-06,f8:b1:56:bd:e5:68
232-07,f8:b1:56:bd:eb:14
232-08,f8:b1:56:bc:8a:4d
232-09,f8:b1:56:bd:e8:20
232-10,f8:b1:56:be:8d:27
232-11,f8:b1:56:bd:eb:1e
232-12,f8:b1:56:ac:72:d9
232-13,f8:b1:56:bc:99:c4
232-14,f8:b1:56:bc:8a:5a
232-15,f8:b1:56:bc:8c:4b
232-16,f8:b1:56:ac:71:7d
232-17,f8:b1:56:bc:8c:88
232-18,f8:b1:56:bc:8b:08
232-19,f8:b1:56:bd:e3:e2
