221-01,90:b1:1c:80:93:e9,134.7.47.50
221-02,90:b1:1c:80:94:d0,134.7.46.136
221-03,90:b1:1c:80:96:16,134.7.45.146
221-04,90:b1:1c:80:f6:74,134.7.44.108
221-05,90:b1:1c:80:f6:8e,134.7.44.61
221-06,90:b1:1c:80:da:d1,134.7.45.87
221-07,90:b1:1c:80:f6:25,134.7.46.151
221-08,90:b1:1c:80:f0:a0,134.7.46.12
221-09,90:b1:1c:80:94:00,134.7.44.242
221-10,90:b1:1c:80:f9:26,134.7.44.243
221-11,90:b1:1c:80:c1:07,134.7.46.44
221-12,90:b1:1c:80:f9:62,134.7.46.175
221-13,90:b1:1c:80:ee:d3,134.7.44.216
221-14,90:b1:1c:80:f5:c3,134.7.44.175
221-15,90:b1:1c:80:ec:5b,134.7.45.86
221-16,90:b1:1c:80:f9:bd,134.7.47.101
221-18,90:b1:1c:80:fa:7d,134.7.44.94
218-02,90:b1:1c:80:af:84,134.7.44.18
218-03,90:b1:1c:80:91:8d,134.7.45.21
218-04,90:b1:1c:80:ae:1e,134.7.45.217
218-05,90:b1:1c:80:9d:6e,134.7.46.188
218-06,90:b1:1c:80:ab:60,134.7.45.237
218-07,90:b1:1c:80:aa:ca,134.7.44.193
218-08,90:b1:1c:80:a6:cd,134.7.45.209
218-09,90:b1:1c:80:a7:14,134.7.44.59
218-10,90:b1:1c:80:91:ee,134.7.47.140
218-11,90:b1:1c:80:91:b6,134.7.44.191
218-12,90:b1:1c:63:94:f6,134.7.46.150
218-13,90:b1:1c:80:ad:9c,134.7.46.180
218-14,90:b1:1c:80:aa:11,134.7.46.190
218-15,90:b1:1c:80:a8:91,134.7.45.71
218-16,90:b1:1c:80:ae:dd,134.7.45.203
218-17,90:b1:1c:80:b0:5e,134.7.45.154
218-18,90:b1:1c:80:ae:3a,134.7.47.91
219-01,90:b1:1c:80:96:97,134.7.46.252
219-02,90:b1:1c:80:bc:44,134.7.44.126
219-03,90:b1:1c:80:94:8f,134.7.44.57
219-04,90:b1:1c:80:96:5e,134.7.44.232
219-05,90:b1:1c:80:c4:0d,134.7.45.226
219-06,90:b1:1c:80:f9:7e,134.7.46.240
219-07,90:b1:1c:80:f9:2f,134.7.46.192
219-08,90:b1:1c:80:94:43,134.7.45.81
219-09,90:b1:1c:80:f9:86,134.7.45.100
219-10,90:b1:1c:80:93:84,134.7.45.187
219-11,90:b1:1c:80:96:62,134.7.45.120
219-12,90:b1:1c:80:ee:da,134.7.44.211
219-13,90:b1:1c:80:fb:77,134.7.44.67
219-14,90:b1:1c:80:98:d4,134.7.47.30
219-15,90:b1:1c:80:ec:d1,134.7.45.138
219-16,90:b1:1c:80:f5:45,134.7.44.185
219-17,90:b1:1c:80:94:66,134.7.47.109
219-18,90:b1:1c:80:98:0b,134.7.46.209
